epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,590.886,1.39531,2.13311,1.63284,0.51517,0.73792,0.58495,0.22596,1.6546,2.82487,2.48146,0.000659722,0.000659722,0.000659722
2,1173.74,1.30554,1.47823,1.54596,0.06142,0.20139,0.02145,0.00457,3.85455,3.45657,5.88423,0.00130013,0.00130013,0.00130013
3,1747.58,1.33732,1.23591,1.54772,0.79919,0.80148,0.83248,0.3416,1.83186,1.79909,2.6564,0.00191413,0.00191413,0.00191413
4,2221.2,1.28376,1.10397,1.52733,0.05053,0.10417,0.02622,0.00535,3.95223,2.44836,4.41088,0.0018812,0.0018812,0.0018812
5,2607.2,1.28389,1.04235,1.52222,0.705,0.71363,0.68137,0.18833,2.35763,1.57519,3.00095,0.0018416,0.0018416,0.0018416
6,2996.27,1.22466,0.99084,1.49079,0.74095,0.8541,0.80334,0.40048,1.58726,1.12032,2.10218,0.001802,0.001802,0.001802
7,3423.13,1.23543,0.94766,1.4732,0.21707,0.22917,0.09741,0.01324,3.46487,2.00226,5.24087,0.0017624,0.0017624,0.0017624
8,3814.55,1.18584,0.88655,1.45094,0.763,0.89583,0.8495,0.49974,1.31018,0.9508,1.82546,0.0017228,0.0017228,0.0017228
9,4209.28,1.16164,0.87572,1.44378,0.37233,0.25694,0.19595,0.04069,3.6989,1.77842,4.82695,0.0016832,0.0016832,0.0016832
10,4610.36,1.12556,0.81723,1.39946,0.70271,0.70139,0.71418,0.28984,1.88459,1.42372,2.47762,0.0016436,0.0016436,0.0016436
11,5022.47,1.12746,0.8129,1.41567,0.77884,0.84028,0.76354,0.34561,1.69343,1.30635,2.1726,0.001604,0.001604,0.001604
12,5417.65,1.12395,0.82456,1.41177,0.77373,0.75694,0.78706,0.3281,1.977,1.22383,2.53056,0.0015644,0.0015644,0.0015644
13,5811.38,1.0996,0.78569,1.38643,0.76101,0.72973,0.7849,0.41725,1.46116,1.22831,1.98615,0.0015248,0.0015248,0.0015248
14,6201.86,1.07902,0.75225,1.37079,0.7882,0.80114,0.82724,0.34078,1.76617,1.24672,2.33653,0.0014852,0.0014852,0.0014852
15,6595.22,1.05402,0.7397,1.36337,0.90807,0.91667,0.96536,0.65182,1.15606,0.63873,1.7491,0.0014456,0.0014456,0.0014456
16,6987.72,1.06201,0.74967,1.36452,0.74274,0.82205,0.83739,0.4615,1.45062,1.06344,1.92837,0.001406,0.001406,0.001406
17,7381.6,1.02913,0.71709,1.35009,0.84833,0.86111,0.90091,0.55982,1.22717,0.83269,1.81175,0.0013664,0.0013664,0.0013664
18,7774.73,1.04432,0.69916,1.35588,0.63411,0.69444,0.6752,0.22487,2.03558,1.58862,2.47345,0.0013268,0.0013268,0.0013268
19,8171.31,1.0327,0.71917,1.34911,0.92237,0.90762,0.96845,0.63928,1.16767,0.64188,1.70291,0.0012872,0.0012872,0.0012872
20,8572,1.03241,0.69312,1.3468,0.82846,0.90554,0.90931,0.54702,1.33385,0.81749,1.7394,0.0012476,0.0012476,0.0012476
21,8965.53,1.03831,0.69153,1.35443,0.70444,0.67361,0.68985,0.25512,2.06757,1.35126,2.57035,0.001208,0.001208,0.001208
22,9356.87,1.00717,0.69477,1.33229,0.85919,0.84745,0.91025,0.59853,1.20662,0.74736,1.74296,0.0011684,0.0011684,0.0011684
23,9748.78,1.02166,0.69635,1.32977,0.81597,0.86111,0.8697,0.35341,1.7886,1.04722,2.32142,0.0011288,0.0011288,0.0011288
24,10146.3,1.00754,0.67092,1.33311,0.78829,0.88194,0.89606,0.53674,1.39246,0.8209,1.89135,0.0010892,0.0010892,0.0010892
25,10540,0.98817,0.66468,1.3101,0.94323,0.92306,0.97855,0.69184,1.0788,0.54751,1.60464,0.0010496,0.0010496,0.0010496
26,10933.1,0.9746,0.6616,1.30659,0.69429,0.70833,0.69711,0.2513,1.9274,1.55694,2.50717,0.00101,0.00101,0.00101
27,11326.6,0.98318,0.6673,1.32213,0.80981,0.86806,0.89026,0.49125,1.36281,0.92451,1.96512,0.0009704,0.0009704,0.0009704
28,11735.1,0.97813,0.65453,1.30375,0.77696,0.7983,0.77636,0.29546,1.97268,1.46816,2.555,0.0009308,0.0009308,0.0009308
29,12129.4,0.97557,0.64832,1.30688,0.78067,0.91667,0.84433,0.463,1.3784,0.89139,1.91576,0.0008912,0.0008912,0.0008912
30,12522.6,0.98522,0.64044,1.30124,0.80472,0.88889,0.86945,0.41027,1.66544,1.04164,2.05938,0.0008516,0.0008516,0.0008516
31,12917.1,0.95824,0.62662,1.30736,0.87779,0.93056,0.95226,0.6159,1.15745,0.65318,1.67346,0.000812,0.000812,0.000812
32,13309.7,0.95343,0.6429,1.29561,0.69006,0.72917,0.71233,0.26767,1.83438,1.50161,2.50314,0.0007724,0.0007724,0.0007724
33,13703.3,0.95742,0.64392,1.29622,0.79607,0.86747,0.86044,0.40068,1.5698,1.16351,2.07202,0.0007328,0.0007328,0.0007328
34,14096.9,0.93672,0.60684,1.28069,0.81665,0.875,0.85674,0.36005,1.77658,1.18672,2.37164,0.0006932,0.0006932,0.0006932
35,14491.4,0.93294,0.60371,1.28185,0.78262,0.82639,0.80899,0.34684,1.69546,1.20145,2.30278,0.0006536,0.0006536,0.0006536
